Street Name,lights
SWARNAMBIKA LAYOUT,22

LIONS CLUB ROAD,4

ADDIS ROAD,23

POLICE QUARTERS ROAD,13

A.T.T COLONY ROAD,10

K.C.ROAD,10

L.I.C ROAD,17

LIBRARY ROAD,24

YARD ROAD,9

MASTHIAMMAL LAYOUT,9

RADHAKRISHNAN ROAD,8

LAKSHMAN NAGAR FIRST STREET,3

SATHY 3RD CROSS CUT STREET,2

SATHY 2ND CROSS CUT STREET,2

SATHY 1ST CROSS CUT STREET,3

SN DAS LAYOUT 4,7

LAJAPATHI RAI STREET,17

STADIUM ROAD,12

DR. NANJAPPA ROAD,15

SOMASUNDARAM MILL ROAD,20

AVINASHI ROAD,310

K.K.COLONY,4

UMA NAMA NAGAR 1,7

UMA NAMA NAGAR 2,8

CHELLAPPA GOUNDER STREET,12

CHERIAN ROAD,3

KALESHWARA MILL ROAD,9

ANUPARPALAYAM ROAD,6

MARIAPPA KONAR STREET,14

RANGA KONAR,10

THOTTARAYAN KOVIL STREET,5

PARK STREET,7

PILLAYAR KOVIL STREET,2

RAJARATHINAM STREET,9

KALEESHWARI ROAD,19

SRIKANTH EXTENSION,19

SN DAS LAYOUT,1

SN DAS LAYOUT 3,3

SN DAS LAYOUT 2,4

PYKARA QUATRES,1

N.V.N LAYOUT,22

ELANGO NAGAR STREET-1,8

ELANGO NAGAR STREET-2,8

DOCTOR'S COLONY,4

KRISHNARAYA PURAM STREET,5

JAWAHAR NAGAR,12

PUTHIYAVAR NAGAR,12

BALASUNDARAM LAYOUT,30

BALAJI NAGAR,78

DHANALAKSHMI NAGAR EXTENSION,3

MUNUSAMY GARDEN ROAD,5

V.O.C.PARK ROAD,13

D.B.O.QUARTERS,13

RACE COURSE ROAD,103

SAVITHRI SHANMUGAM ROAD,12

APPUSAMY LAYOUT,15

SOURIMUTHU STREET,9

PULIYAKULAM ROAD,35

TRICHY ROAD,332

BHARATHIDHASAN NAGAR,18

L.G.P ROAD,7

AIR INDIA ROAD,3

RACECOURCE ROAD,32

ARTS COLLEGE ROAD,29

TRAVELLERS BUNGALOW ROAD,33

HOSUR ROAD,12

HIGHWAYS COLONY,31

AUGUSTIAN PET SUBRAMANIAN LAYOUT,8

SUBRAMANIAN LAYOUT,3

PADMA LAYOUT,11

POLICE KANDASAMY ROAD,5

HEAD QUATERS ROAD,7

DEVI AND CO LANE,14

GOPALAPURAM STREET 1,5

GOPALAPURAM STREET 2,4

SUNDARESA IYYAR LAYOUT,14

V C K LAYOUT,10

G R GOVINDARAJULU STREET,6

GANDHI NAGAR HUTS,14

SUNDRAM BROTHERS LAYOUT,12

ESWARAN LAYOUT,10

S R IYER LAYOUT,5

KAMARAJ ROAD,84

P N R LAYOUT,8

ARIYAN SOAP COLONY,11

K.K NAGAR,8

VENKATASAMY LAYOUT,2

BALA SUBRAMANIYAN ROAD,12

THANDUMARIAMMAN KOVIL STREET,4

KADALAIKARA SANDHU 2,7

KADALAIKARA SANDHU 1,6

KADALAIKARA SANDHU 3,4

D.R.O.QUARTERS,1

THOMAS PARK ROAD,15

SCHEME ROAD,2

PRS INTERNAL ROAD,16

D.F.O. COMPOUND,3

ABDUL RAHIM ROAD,9

VERYWATT STREET,2

N.K.P MUTHUSAMY LAYOUT,2

RED FIELDS ROAD,30

G R D ROAD,23

A T DEVARAJ ROAD,5

G D STREET,9

